City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tomatlán,94,MX,1593577885,84,19.93,-105.25,25.26,0.1
Esperance,90,AU,1593577595,87,-33.87,121.9,12,8.7
Lahaina,20,US,1593577623,54,20.88,-156.68,29,10.3
Cairns,90,AU,1593577780,88,-16.92,145.77,22,4.6
Avarua,39,CK,1593577887,73,-21.21,-159.78,25,8.2
Arraial do Cabo,99,BR,1593577608,83,-22.97,-42.03,21.46,9.82
Kapit,22,MY,1593577887,51,2.02,112.93,34.22,0.82
Norman Wells,75,CA,1593577805,87,65.28,-126.83,15,4.1
Chokurdakh,22,RU,1593577888,30,70.63,147.92,16.63,5.03
Saint-Pierre,0,RE,1593577889,49,-21.34,55.48,20.56,4.1
Carnarvon,40,AU,1593577638,56,-24.87,113.63,22,7.2
Qaanaaq,0,GL,1593577613,78,77.48,-69.36,2.79,0.86
San Quintín,0,MX,1593577665,84,30.48,-115.95,16.71,3.83
Dingle,73,PH,1593577890,58,11,122.67,32.21,3.05
Tazovsky,44,RU,1593577891,66,67.47,78.7,10.34,3.99
Koumac,37,NC,1593577891,59,-20.57,164.28,21.35,7.16
Opuwo,0,NA,1593577891,42,-18.06,13.84,9.76,3.66
Faanui,29,PF,1593577649,75,-16.48,-151.75,25.49,10.51
Labuhan,0,ID,1593577893,58,-6.88,112.21,30.27,2.12
Alekseyevsk,66,RU,1593577893,27,57.84,108.35,31.44,3.04
Afuá,6,BR,1593577894,94,-0.16,-50.39,23.36,1.41
Castro,88,BR,1593577628,92,-24.79,-50.01,14.65,5.57
Lermontovka,0,RU,1593577895,46,47.15,134.34,27.58,3.59
Harlingen,75,US,1593577622,88,26.19,-97.7,28.89,7.7
Allāpalli,33,IN,1593577895,51,19.42,80.07,35.33,1.47
Bluff,100,NZ,1593577624,76,-46.6,168.33,7.56,3.69
Banda Aceh,86,ID,1593577712,67,5.56,95.32,29.52,2.16
Yangjiang,100,CN,1593577884,57,21.85,111.97,33.89,2.59
Ust'-Kut,47,RU,1593577897,29,56.79,105.77,30.92,2.8
Vazante,72,BR,1593577898,88,-17.99,-46.91,15.32,0.62
Makat,8,KZ,1593577898,32,47.65,53.35,22.82,6.36
Umluj,0,SA,1593577695,45,25.02,37.27,28.91,1.81
Sampit,26,ID,1593577899,51,-2.53,112.95,32.9,1.75
Cabo San Lucas,0,MX,1593577899,90,22.89,-109.91,26.11,0.89
Akom,80,CM,1593577899,100,2.67,12.71,18.43,1.03
Coyhaique,90,CL,1593577711,87,-45.58,-72.07,3,2.1
Puerto Ayacucho,65,VE,1593577622,86,5.66,-67.62,24.38,1.27
Vaini,75,TO,1593577622,78,-21.2,-175.2,23,4.1
Alta Floresta,0,BR,1593577901,73,-9.88,-56.09,20.86,0.11
Srednekolymsk,2,RU,1593577901,35,67.45,153.68,17.19,5.41
Mastung,0,PK,1593577902,21,29.8,66.84,31.18,1.92
La Romana,40,DO,1593577902,94,18.43,-68.97,25,2.78
Saint-Joseph,0,RE,1593577637,49,-21.37,55.62,20.56,4.1
Constitución,100,CL,1593577903,84,-35.33,-72.42,11.01,2.38
Enid,1,US,1593577903,89,36.4,-97.88,30,8.2
Cabedelo,10,BR,1593577638,84,-6.98,-34.83,24.16,3.64
Pisco,90,PE,1593577904,82,-13.7,-76.22,17,1.5
Touros,75,BR,1593577905,94,-5.2,-35.46,23,2.1
Hilo,90,US,1593577892,58,19.73,-155.09,28,3.6
Bansang,91,GM,1593577905,94,13.43,-14.65,25,2.1
Kavieng,34,PG,1593577906,76,-2.57,150.8,28.35,4.91
Castelo do Piauí,53,BR,1593577906,71,-5.32,-41.55,22.35,0.87
Vostok,0,RU,1593577906,36,46.49,135.88,24.48,3.41
Necochea,89,AR,1593577907,78,-38.55,-58.74,7.22,4.92
Saint-Philippe,0,RE,1593577651,49,-21.36,55.77,20.56,4.1
Reading,15,GB,1593577822,90,51.46,-0.97,13.33,4.5
Hong Kong,100,HK,1593577825,74,22.29,114.16,32.22,4.92
Bredasdorp,0,ZA,1593577641,93,-34.53,20.04,7,0.5
Laguna,1,US,1593577871,36,38.42,-121.42,27,3.6
Biskamzha,78,RU,1593577909,56,53.45,89.53,23.29,2.94
Jalu,0,LY,1593577831,36,29.03,21.55,24.68,2.67
Teya,51,RU,1593577909,29,60.38,92.63,30.05,0.33
Tevaitoa,8,PF,1593577910,72,-16.78,-151.5,26.09,10.61
Avera,1,US,1593577910,88,33.19,-82.53,26,1.5
Talnakh,75,RU,1593577910,93,69.49,88.4,13,10
Sakakah,0,SA,1593577625,39,29.97,40.21,26,4.6
Sistranda,20,NO,1593577911,61,63.73,8.83,10,6.2
Port Hardy,75,CA,1593577675,76,50.7,-127.42,14,4.1
Prince Rupert,20,CA,1593577809,87,54.32,-130.32,13,2.6
São Pedro do Sul,90,BR,1593577912,81,-29.62,-54.18,12,8.2
Port Elizabeth,0,ZA,1593577913,93,-33.92,25.57,10,2.6
Ketchikan,1,US,1593577913,59,55.34,-131.65,17,4.6
Narsaq,99,GL,1593577914,81,60.92,-46.05,6,3.6
New Norfolk,15,AU,1593577914,78,-42.78,147.06,12.78,0.45
Kaitangata,99,NZ,1593577914,67,-46.28,169.85,7.22,2.24
Ayr,75,GB,1593577915,93,55.46,-4.63,13,1.05
Pointe Michel,41,DM,1593577915,81,15.25,-61.38,26.84,4.14
Airai,5,TL,1593577916,57,-8.93,125.41,22.11,2.09
Lawrence,90,US,1593577816,74,38.97,-95.24,28,4.6
Iqaluit,75,CA,1593577916,86,63.75,-68.51,3,2.1
Ginda,75,IN,1593577916,78,30.69,78.49,27,2.17
Eyl,99,SO,1593577917,56,7.98,49.82,29.13,13.3
Ponta do Sol,40,PT,1593577623,73,32.67,-17.1,21,4.6
Vestmannaeyjar,100,IS,1593577918,88,63.44,-20.27,9.62,5.95
Kidal,43,ML,1593577918,61,18.44,1.41,24.38,1.54
Mirny,20,RU,1593577919,33,62.54,113.96,30,1
Province of Trapani,0,IT,1593577919,82,37.83,12.67,25.56,2.1
Troy,1,US,1593577912,69,42.61,-83.15,23.89,1.69
Paskov,10,CZ,1593577920,87,49.73,18.29,17.78,2.6
Katherine,40,AU,1593577920,27,-14.47,132.27,31,5.1
Lewiston,90,US,1593577920,100,44.1,-70.21,19,1.5
San Juan,16,AR,1593577835,71,-31.54,-68.54,4.39,0.94
Hasaki,75,JP,1593577921,88,35.73,140.83,25,7.2
Ozark,99,US,1593577922,86,37.02,-93.21,26.11,2.59
Tangshan,49,CN,1593577923,23,39.63,118.18,35.49,2.42
Yellowknife,75,CA,1593577753,36,62.46,-114.35,24.44,1.04
Lüderitz,0,NA,1593577923,25,-26.65,15.16,16,3.1
Mayo,90,US,1593577924,94,38.89,-76.51,23.33,1.5
Hashtrūd,19,IR,1593577924,38,37.48,47.05,17.89,4.07
Bozovici,0,RO,1593577924,87,44.94,22,16,0.5
Olafsvik,55,IS,1593577925,80,64.89,-23.71,9.6,2.77
Vestmanna,96,FO,1593577925,87,62.16,-7.17,6,4.1
Karaman Province,0,TR,1593577925,52,37.08,33.25,17.68,9.56
Cabinda,70,AO,1593577926,83,-5.55,12.2,21.98,1.04
Cayenne,100,GF,1593577926,100,4.93,-52.33,24,1
Muhafazat Lahij,100,YE,1593577926,56,13.17,44.58,29.82,3.21
Guerrero Negro,0,MX,1593577613,78,27.98,-114.06,18.39,6.38
Hofn,47,IS,1593577927,78,64.25,-15.21,6.58,1.55
Izumo,75,JP,1593577928,94,35.37,132.77,20,7.2
Kenitra,75,MA,1593577928,93,34.26,-6.58,18,2.1
Leningradskiy,96,RU,1593577835,94,69.38,178.42,2.2,2.81
Wasilla,1,US,1593577929,45,61.58,-149.44,19,1.5
Arrianá,20,GR,1593577930,73,41.08,25.7,27.22,3.1
Ostrovnoy,100,RU,1593577930,71,68.05,39.51,14.28,10.12
Rājgarh,40,IN,1593577930,22,28.63,75.38,41.3,3.68
Igarka,100,RU,1593577931,74,67.47,86.58,14.12,6.89
Santa Apolonia,75,GT,1593577931,88,14.79,-90.97,19,3.1
Sorong,43,ID,1593577799,80,-0.88,131.25,27.8,5.13
Ca Mau,85,VN,1593577932,59,9.18,105.15,31.23,2.28
Razdol'noye,40,RU,1593577932,57,43.55,131.92,26,6
Kiunga,98,PG,1593577933,73,-6.12,141.29,28.1,1.97
Andrews,1,US,1593577865,19,32.32,-102.55,31,3.1
Saryozek,98,KZ,1593577933,17,44.36,77.98,27.74,4.72
Mount Isa,25,AU,1593577934,26,-20.73,139.5,28,2.6
Ostrov,62,RU,1593577934,87,57.34,28.35,14,5
Codrington,0,AU,1593577605,58,-38.27,141.97,15.49,8.63
Guánica,2,PR,1593577935,74,17.97,-66.91,27.22,3.46
Rome,1,US,1593577687,93,43.21,-75.46,17.78,1.5
Port Augusta,0,AU,1593577834,25,-32.5,137.77,23,11.3
Tilichiki,3,RU,1593577644,39,60.47,166.1,13.51,8.45
Alihe,10,CN,1593577937,23,50.57,123.72,31.45,2.43
Yerbogachën,100,RU,1593577802,34,61.28,108.01,31.29,1.17
Managua,40,NI,1593577697,83,12.13,-86.25,26,2.1
Topolobampo,38,MX,1593577938,77,25.6,-109.05,27.78,0.89
Idenao,20,CM,1593577938,100,4.25,9,24,1.04
Nurota,0,UZ,1593577938,23,40.56,65.69,30,4.1
Bambous Virieux,40,MU,1593577939,93,-20.34,57.76,22.22,1.5
Ýpsonas,0,CY,1593577939,83,34.69,32.96,25,4.1
Avanigadda,20,IN,1593577940,63,16.02,80.92,34,2.6
Conceição da Barra,38,BR,1593577940,97,-18.59,-39.73,18.92,1.84
Vila Franca do Campo,75,PT,1593577940,88,37.72,-25.43,19,3.6
Benton,75,US,1593577941,78,36.33,-94.33,26.11,4.1
Kavaratti,90,IN,1593577941,94,10.57,72.64,25,2.1
Darłowo,81,PL,1593577941,77,54.42,16.41,16.11,8.16
Bayir,0,TR,1593577942,68,37.27,28.22,20,1.5
Bayburt,69,TR,1593577943,69,40.26,40.23,14.57,1.72
Kayerkan,75,RU,1593577943,93,69.35,87.76,13,10
Tottori-shi,75,JP,1593577943,78,35.5,134.23,24,9.8
Soyo,31,AO,1593577944,86,-6.13,12.37,21.44,1.59
Paamiut,100,GL,1593577944,96,61.99,-49.67,3.99,1.59
Clarence Town,0,AU,1593577945,45,-32.58,151.78,21.67,3.6
San Cristobal,46,VE,1593577945,82,7.77,-72.22,18.38,1.18
Saint Paul Harbor,1,US,1593577672,59,57.79,-152.41,16,0.31
Kumul,0,CN,1593577946,15,42.8,93.45,30.32,1.94
Morristown,1,US,1593577761,100,36.21,-83.29,22.22,2.46
Tahe,62,CN,1593577946,26,52.33,124.73,31.17,2.78
Portland,75,US,1593577947,63,45.52,-122.68,16.67,3.1
Douglas,75,US,1593577947,88,41.3,-96.17,27.22,4.6
Hobyo,76,SO,1593577947,62,5.35,48.53,27.52,12.78
Abu Samrah,0,SY,1593577948,46,35.3,37.18,24.58,4.27
Kysyl-Syr,0,RU,1593577948,24,63.9,122.76,32.22,3.25
Safaga,0,EG,1593577949,39,26.73,33.94,28,4.6
Qasigiannguit,100,GL,1593577949,75,68.82,-51.19,6,1.5
Iquique,90,CL,1593577949,67,-20.22,-70.14,16,1.5
Hambantota,75,LK,1593577950,100,6.12,81.12,27,2.6
Aklavik,75,CA,1593577950,67,68.22,-135.01,14,3.6
Torbay,90,CA,1593577664,100,47.67,-52.73,19.44,6.7
Le Mars,90,US,1593577952,83,42.79,-96.17,26.11,5.7
Praia da Vitória,75,PT,1593577952,93,38.73,-27.07,18,3.48
Williston,75,US,1593577843,100,48.15,-103.62,16,2.6
Khatanga,62,RU,1593577953,33,71.97,102.5,24.83,1.88
Bubaque,98,GW,1593577953,80,11.28,-15.83,26.97,2.6
Butaritari,2,KI,1593577954,71,3.07,172.79,28.65,3.12
Kahului,20,US,1593577802,51,20.89,-156.47,29,8.7
Wanning,100,CN,1593577954,73,18.8,110.4,29.88,3.59
Derzhavīnsk,83,KZ,1593577832,65,51.1,66.32,17.61,5.96
Kiruna,100,SE,1593577955,93,67.86,20.23,4,4.1
Kuala Terengganu,40,MY,1593577955,83,5.33,103.14,29,1.49
Flinders,52,AU,1593577956,54,-34.58,150.86,21.67,3.13
Nantucket,75,US,1593577956,93,41.28,-70.1,16,3.1
Thinadhoo,50,MV,1593577957,63,0.53,72.93,28.95,1.59
Murmashi,75,RU,1593577958,100,68.82,32.81,11,6
Los Llanos de Aridane,90,ES,1593577958,88,28.66,-17.92,20,4.1
Whitehorse,75,CA,1593577919,45,60.72,-135.05,17,1.5
Kaiyuan,98,CN,1593577959,67,23.7,103.3,27.56,1.5
Suratgarh,0,IN,1593577959,19,29.32,73.9,42.16,1.53
Erenhot,37,CN,1593577960,24,43.65,111.98,28.32,3.11
Hamilton,40,US,1593577910,100,39.18,-84.53,23.33,1.5
Dhidhdhoo,90,MV,1593577960,77,6.88,73.1,28.57,4.81
Nemuro,75,JP,1593577724,65,43.32,145.57,25,1.5
Forsytheganj,35,BY,1593577961,80,52.63,29.73,17.76,3.4
Jalpan,100,MX,1593577733,80,21.23,-99.48,23.19,1.63
Haines Junction,37,CA,1593577962,47,60.75,-137.51,14.48,2.25
Baharly,0,TM,1593577964,21,38.44,57.43,30.73,3.59
Bethel,90,US,1593577842,93,41.37,-73.41,19,1.16
Uglovskoye,100,RU,1593577965,37,51.36,80.19,26.41,4.16
Aquiraz,75,BR,1593577965,78,-3.9,-38.39,26,1
Kemin,95,KG,1593577965,30,42.78,75.69,24.1,2.56
Rongcheng,96,CN,1593577966,95,30.63,117.85,30.56,2.19
Winnemucca,1,US,1593577966,20,40.97,-117.74,17,2.6
Puerto del Rosario,75,ES,1593577967,83,28.5,-13.86,22,5.7
Iguape,72,BR,1593577967,73,-24.71,-47.56,22.35,5.58
San Antonio,90,US,1593577796,83,29.42,-98.49,28.33,3.6
Andenes,75,NO,1593577968,87,69.31,16.12,7,7.2
Limulunga,0,ZM,1593577968,59,-15.1,23.14,13.66,3.9
Arrondissement de Lannion,90,FR,1593577968,93,48.75,-3.42,14,4.1
Tiarei,40,PF,1593577969,69,-17.53,-149.33,25,8.7
Khonsa,76,IN,1593577969,88,27.02,95.57,25.47,0.82
Partyzany,41,UA,1593577970,55,46.33,34.75,26.59,2.24
Luena,53,AO,1593577970,62,-11.78,19.92,10.18,2.07
Gigmoto,100,PH,1593577971,74,13.78,124.39,29.56,3.16
Peñal,75,TT,1593577971,78,10.17,-61.47,27,6.2
Ginir,92,ET,1593577972,81,7.13,40.7,15.9,4.95
Tequila,89,MX,1593577972,84,20.88,-103.83,20.56,2.68
Chokwé,62,MZ,1593577972,96,-24.53,32.98,15.05,3.07
Kudahuvadhoo,31,MV,1593577973,66,2.67,72.89,28.94,1.75
Maniitsoq,100,GL,1593577974,60,65.42,-52.9,9.81,4.92
Kozel'sk,32,RU,1593577974,88,54.04,35.77,17,2
Omboué,27,GA,1593577974,87,-1.57,9.26,20.93,0.47
Santa Isabel Rio Negro,8,BR,1593577975,97,-0.41,-65.02,22.44,0.55
Faya,65,SA,1593577975,40,18.39,42.45,24,6.84
Rodolfo Sánchez Taboada,4,MX,1593577975,81,31.72,-116.57,19.44,1.34
Lūnāvāda,0,IN,1593577976,55,23.13,73.62,33.86,3.47
Acapulco de Juárez,84,MX,1593577965,70,16.86,-99.89,27.35,1.66
Inza,100,RU,1593577976,75,53.85,46.36,14.81,4.35
Sarai Naurang,0,PK,1593577977,38,32.83,70.78,34,1.16
Barrow,90,US,1593577839,93,71.29,-156.79,3,5.1
Trencin,9,SK,1593577978,83,48.83,18.25,17.78,0.72
Caravelas,40,BR,1593577978,96,-17.71,-39.25,20.15,1.82
Fort Smith,1,US,1593577803,78,35.39,-94.4,27,1.82
Saldanha,0,ZA,1593577979,87,-33.01,17.94,8,2.1
Mangai,82,CD,1593577979,89,-4.05,19.53,20.09,0.97
Madimba,59,TZ,1593577979,70,-10.4,40.33,22.04,7.41
Samarai,96,PG,1593577980,84,-10.62,150.67,25.78,8.34
Tuktoyaktuk,90,CA,1593577980,87,69.45,-133.04,8,8.7
Praia,75,CV,1593577980,69,14.92,-23.51,24,2.6
Innisfail,100,AU,1593577981,88,-17.53,146.03,21.24,4.31
Hirara,75,JP,1593577982,70,24.8,125.28,32,9.8
Oxelösund,75,SE,1593577982,93,58.67,17.1,13,4.6
Hvolsvollur,100,IS,1593577982,95,63.75,-20.22,8.89,5.81
Gimli,22,CA,1593577983,71,50.63,-96.99,23.57,3.57
Itarema,0,BR,1593577983,88,-2.92,-39.92,23.55,4.37
Snåase,82,NO,1593577984,71,64.25,12.38,8.17,5.02
Ovsyanka,52,RU,1593577984,64,55.96,92.55,23,4
Bogdanovich,40,RU,1593577984,68,56.78,62.05,13.32,3.03
Salalah,75,OM,1593577985,89,17.02,54.09,29,2.6
Markovo,88,RU,1593577985,31,57.32,107.09,30.3,2.61
Rosarito,90,MX,1593577985,72,32.33,-117.03,19.44,3.6
Lagoa,96,PT,1593577986,84,39.05,-27.98,17.55,4.96
Manta,30,EC,1593577717,89,-0.95,-80.73,22.05,3.87
Roebourne,76,AU,1593577987,27,-20.78,117.13,29,4.07
Arrondissement de Saint-Malo,90,FR,1593577988,100,48.5,-1.83,17.22,2.6
Portalegre,6,PT,1593577988,84,39.29,-7.43,18.33,0.89
Tamworth,40,GB,1593577988,87,52.63,-1.7,14.44,2.1
Maceió,20,BR,1593577959,94,-9.67,-35.74,22,1
Finschhafen,100,PG,1593577989,86,-6.6,147.87,25.1,4.95
Kulhudhuffushi,90,MV,1593577990,77,6.62,73.07,28.51,4.45
Tezu,99,IN,1593577990,58,27.92,96.17,31.45,1.59
Port Keats,84,AU,1593577990,32,-14.25,129.55,28.84,3.61
Mossamedes,0,AO,1593577991,70,-15.2,12.15,20.22,3.08
Fort Nelson,75,CA,1593577991,63,58.81,-122.7,19,2.1
Korla,66,CN,1593577991,63,41.76,86.15,24.44,0.45
Mitsamiouli,27,KM,1593577992,70,-11.38,43.28,25.51,8.62
Coahuayana Viejo,82,MX,1593577992,82,18.73,-103.68,25.64,0.3
Xiaoweizhai,100,CN,1593577993,77,26.19,107.51,27.38,2.69
Abashiri,75,JP,1593577993,64,44.02,144.27,22,5.1
Mitú,0,CO,1593577908,95,1.2,-70.17,22.08,0.56
Xinqing,0,CN,1593577994,31,48.23,129.5,29.97,3.48
Benguela,3,AO,1593577994,84,-12.58,13.41,18.75,1.43
Chulym,100,RU,1593577995,69,55.1,80.96,21.78,2.36
Sawtell,90,AU,1593577995,49,-30.38,153.1,21,3.6
Atikokan,26,CA,1593577995,91,48.76,-91.62,20.77,3.2
Pangkalanbuun,43,ID,1593577996,50,-2.68,111.62,33.18,2.03
Kashan,0,IR,1593577996,19,33.98,51.44,29.74,1.61
Banjarmasin,20,ID,1593577996,66,-3.32,114.59,31,2.6
Broome,75,US,1593577997,100,42.25,-75.83,17.78,3.1
Baykit,23,RU,1593577997,25,61.67,96.37,28.66,1.22
Muaná,4,BR,1593577998,95,-1.53,-49.22,23.11,1.09
Arlit,0,NE,1593577998,13,18.74,7.39,29.68,3.03
Alice Springs,5,AU,1593577999,21,-23.7,133.88,26,3.6
Lebu,100,CL,1593577999,93,-37.62,-73.65,10.66,9.77
Mount Gambier,0,AU,1593578000,45,-37.83,140.77,18,8.7
Naze,75,JP,1593578000,94,28.37,129.48,26,6.2
Aksay,2,RU,1593578001,60,47.26,39.87,22,2
Fomboni,12,KM,1593578001,74,-12.28,43.74,25.56,9.43
Klaksvík,100,FO,1593578001,87,62.23,-6.59,6,4.1
Lata,99,PT,1593578002,92,40.16,-8.33,16.67,1.79
Tuatapere,99,NZ,1593578002,83,-46.13,167.68,3.89,1.34
Sharan,17,RU,1593578002,68,54.82,54,13.8,1.68
Forio,0,IT,1593578003,80,40.73,13.86,23.89,1.05
Yangi Marg`ilon,21,UZ,1593577630,20,40.43,71.72,30,1
Inhambane,46,MZ,1593578004,76,-23.86,35.38,18.97,4.75
Kiryat Gat,0,IL,1593578004,80,31.61,34.76,23.33,0.89
Biscarrosse,26,FR,1593578004,88,44.39,-1.17,18,2.1
Fukuechō,40,JP,1593578005,73,32.69,128.84,24,3.6
Borjomi,81,GE,1593578005,64,41.85,43.41,20.92,0.77
Vysotskoye,0,RU,1593578005,50,45.02,42.91,26,1
Mangan,61,IN,1593578006,49,27.52,88.53,29.96,2.72
Belaya Gora,62,RU,1593578006,30,68.53,146.42,18.78,3.6
Yelizovo,18,RU,1593578006,49,53.19,158.38,22,6
San Patricio,95,MX,1593578007,80,19.22,-104.7,26.54,2.28
Raudeberg,13,NO,1593578007,75,61.99,5.14,10.56,10.4
Kon Tum,98,VN,1593577925,89,14.35,108,23.79,1.99
Iiyama,100,JP,1593578008,58,36.85,138.37,31.67,1.34
Majene,28,ID,1593578008,68,-3.54,118.97,29.04,2.81
Port-Gentil,18,GA,1593578008,80,-0.72,8.78,22.79,2.08
Isangel,40,VU,1593578009,60,-19.55,169.27,24,4.1
Kintampo,99,GH,1593578009,100,8.06,-1.73,20.68,2.05
Mabaruma,10,GY,1593578009,97,8.2,-59.78,22.99,1.22
Kondoa,99,TZ,1593578010,82,-4.9,35.78,15.65,2.53
Tual,38,ID,1593578010,82,-5.67,132.75,26.61,9.73
Dunedin,100,NZ,1593578011,84,-45.87,170.5,6.67,0.45
Chervona Sloboda,0,UA,1593578012,81,49.38,32.15,19.44,2.32
Ampanihy,64,MG,1593578012,75,-24.7,44.75,17,4.87
Kruisfontein,0,ZA,1593578013,51,-34,24.73,12.47,5.33
São João da Barra,4,BR,1593578013,85,-21.64,-41.05,19.77,4.26
Pitsunda,75,GE,1593578013,60,43.16,40.34,23,4
New Ross,96,IE,1593578014,93,52.4,-6.94,12.78,2.68
Meulaboh,58,ID,1593578014,65,4.14,96.13,30.01,1.68
Tolaga Bay,61,NZ,1593578015,67,-38.37,178.3,8.01,5.53
Zhangye,0,CN,1593578015,14,38.93,100.45,29.54,2.56
Namwala,0,ZM,1593578015,89,-15.75,26.44,10.77,2.77
George Town,20,MY,1593578016,74,5.41,100.34,31,3.6
Ust'-Ishim,100,RU,1593578016,95,57.69,71.17,13.13,2.92
Agadez,0,NE,1593578017,16,19.75,10.25,26.46,3.56
Puerto Carreño,50,CO,1593577803,87,6.19,-67.49,25.05,2.09
Mildura,40,AU,1593578017,24,-34.2,142.15,21.11,6.7
Half Moon Bay,90,US,1593577897,87,37.46,-122.43,16.67,2.25
Pandan,96,PH,1593578018,76,14.05,124.17,29.31,2.68
Port-Cartier,40,CA,1593578018,93,50.03,-66.87,16.67,2.1
Thunder Bay,40,CA,1593578019,88,48.4,-89.32,17,4.1
Rabūpura,75,IN,1593578019,75,28.25,77.6,34.44,2.1
Rockland,88,US,1593578020,95,41.17,-74.05,20,1.22
